Campaign,Channel,Spend,Revenue,Clicks,Conversions
Festive Blast,Google,12943,19742,4642.0,296
Winter Offer,Google,18683,28787,9101.0,409
Festive Blast,Google,10483,31197,1505.0,722
Festive Blast,Instagram,5195,20898,8780.0,189
Mega Discount,LinkedIn,15715,26326,3416.0,749
New Launch,Instagram,19316,36866,5160.0,644
Festive Blast,Facebook,19247,32331,9878.0,523
Mega Discount,Google,9911,15230,3219.0,374
New Launch,Facebook,18813,35980,2739.0,617
New Launch,Facebook,2583,16120,4963.0,79
Summer Sale,Google,17859,25272,8208.0,619
Festive Blast,LinkedIn,8470,17209,4422.0,302
Mega Discount,Instagram,15254,27133,4119.0,718
New Launch,Facebook,18131,42361,3554.0,633
Summer Sale,Google,16126,21472,6560.0,495
Festive Blast,Instagram,3215,7887,9884.0,617
Winter Offer,Google,6683,22622,795.0,580
New Launch,Instagram,9112,23255,4518.0,173
New Launch,Google,11968,28227,675.0,83
Summer Sale,Facebook,5692,14976,7693.0,177
Summer Sale,Google,9348,26914,3148.0,67
Winter Offer,Google,2033,6872,2456.0,576
Festive Blast,Google,2724,16582,634.0,306
Summer Sale,Facebook,2153,14358,6661.0,511
Summer Sale,Facebook,16809,37301,3536.0,595
Summer Sale,LinkedIn,12605,15881,,428
New Launch,Google,12800,37555,4981.0,632
Summer Sale,LinkedIn,16423,37620,8660.0,503
Festive Blast,LinkedIn,16836,27474,2695.0,107
Mega Discount,Instagram,9306,14486,3051.0,87
Winter Offer,Google,17612,28458,8057.0,508
Winter Offer,Instagram,9191,30989,1063.0,458
Mega Discount,LinkedIn,13858,17029,3102.0,208
Mega Discount,Google,14355,25785,1513.0,635
Winter Offer,Google,4664,9672,5728.0,761
New Launch,Facebook,2558,10875,803.0,260
New Launch,Facebook,18399,33126,1006.0,522
Winter Offer,LinkedIn,8076,25268,1740.0,493
Summer Sale,LinkedIn,8507,12745,9219.0,139
New Launch,LinkedIn,14048,30572,8065.0,605
Mega Discount,Facebook,16390,25029,6541.0,503
Winter Offer,Facebook,7511,28496,2068.0,516
Festive Blast,LinkedIn,19739,38385,1295.0,450
Festive Blast,Instagram,4751,28711,4909.0,293
Festive Blast,LinkedIn,5410,28140,7958.0,611
Summer Sale,Instagram,17433,21539,,273
New Launch,LinkedIn,14455,22464,3977.0,691
Winter Offer,Instagram,17156,34719,8395.0,172
Festive Blast,LinkedIn,15770,38272,1456.0,395
Summer Sale,Instagram,8486,20647,5741.0,746
Festive Blast,Facebook,10150,22007,4140.0,507
Winter Offer,LinkedIn,12516,22095,5827.0,145
Winter Offer,Instagram,9292,28215,7086.0,541
Summer Sale,Google,4910,16494,6743.0,622
Mega Discount,Instagram,10967,28389,8240.0,163
Summer Sale,LinkedIn,6177,28500,9982.0,70
Mega Discount,LinkedIn,18658,42379,6749.0,198
Mega Discount,LinkedIn,7338,12639,8100.0,285
Winter Offer,Instagram,17652,24728,5070.0,244
Summer Sale,LinkedIn,3772,16267,9610.0,545
Summer Sale,Facebook,19191,37876,1445.0,326
Summer Sale,LinkedIn,3554,23269,3986.0,617
Festive Blast,LinkedIn,10972,22045,7862.0,475
New Launch,Facebook,11372,30399,1517.0,189
Winter Offer,Facebook,10333,27930,2939.0,483
Festive Blast,Google,19630,26921,7207.0,173
Summer Sale,Instagram,15204,36105,1990.0,230
Summer Sale,Instagram,8696,24888,1430.0,383
New Launch,Instagram,16149,33116,3648.0,395
Winter Offer,Google,19499,25382,2400.0,511
Festive Blast,Instagram,18089,42038,4756.0,557
Mega Discount,Google,6092,23306,9459.0,581
Winter Offer,LinkedIn,11416,25631,6271.0,653
Mega Discount,LinkedIn,9032,29094,1765.0,690
Mega Discount,Instagram,3487,10342,6195.0,491
New Launch,Facebook,16346,29382,6971.0,104
Summer Sale,Facebook,17230,33994,8298.0,760
New Launch,LinkedIn,11859,35637,7851.0,622
Festive Blast,Google,16669,32968,7129.0,229
Festive Blast,LinkedIn,19821,30744,4300.0,171
New Launch,Facebook,5638,23860,,280
Winter Offer,Facebook,7594,29974,9424.0,169
Festive Blast,Instagram,2904,26985,7515.0,637
Festive Blast,Facebook,13950,27984,2713.0,406
Summer Sale,Instagram,15877,25338,4789.0,68
Winter Offer,Google,12774,19693,6470.0,130
New Launch,LinkedIn,13532,37979,5156.0,564
New Launch,Facebook,4219,21351,3768.0,260
Festive Blast,Google,8671,17227,834.0,728
Winter Offer,Facebook,9494,23936,3787.0,389
Festive Blast,Google,13837,31589,1549.0,246
Mega Discount,Facebook,10557,20910,3607.0,439
Winter Offer,Facebook,6632,14954,6567.0,77
New Launch,Facebook,4220,7509,4249.0,364
New Launch,Google,14954,28944,7059.0,731
Winter Offer,Google,10313,20619,1615.0,252
Summer Sale,Instagram,19309,39670,8063.0,387
Winter Offer,Facebook,5451,11832,6246.0,190
Festive Blast,LinkedIn,7620,25779,8930.0,404
Summer Sale,LinkedIn,11073,22131,9858.0,443
Mega Discount,Instagram,6250,19150,4787.0,140
Mega Discount,LinkedIn,10199,16035,1207.0,173
Winter Offer,Google,7187,13139,5108.0,479
Winter Offer,Instagram,15737,34971,2250.0,124
Mega Discount,LinkedIn,8064,25561,1918.0,437
Festive Blast,Facebook,3230,12234,9851.0,682
New Launch,Google,499083,37789,,165
Summer Sale,LinkedIn,16163,27290,9347.0,416
Winter Offer,Google,9420,18324,2143.0,612
Winter Offer,LinkedIn,3168,18166,1250.0,489
Summer Sale,LinkedIn,13046,18684,,129
Mega Discount,Instagram,4811,24242,8916.0,132
New Launch,Google,5175,12104,5490.0,516
Festive Blast,Google,6393,30272,2032.0,508
Winter Offer,Instagram,276139,20607,1163.0,253
Festive Blast,Instagram,16716,33130,8542.0,578
Festive Blast,Instagram,11856,33910,7882.0,635
Summer Sale,LinkedIn,6702,12299,5935.0,633
Winter Offer,Google,12766,32585,9640.0,203
Mega Discount,Instagram,2933,25917,5843.0,134
Mega Discount,Instagram,19128,42115,7291.0,399
Summer Sale,Instagram,8704,24255,9664.0,504
New Launch,Instagram,18958,42278,6941.0,275
Summer Sale,LinkedIn,11450,20567,2246.0,507
Mega Discount,Google,10920,17496,8058.0,568
Summer Sale,Instagram,11482,15366,7129.0,523
Winter Offer,LinkedIn,10787,34988,7797.0,741
Summer Sale,Instagram,7834,23718,7192.0,770
Winter Offer,Google,18564,33602,9562.0,370
Winter Offer,Facebook,12482,16467,7422.0,700
Summer Sale,LinkedIn,9411,12860,9601.0,563
New Launch,LinkedIn,2238,22669,5011.0,504
Festive Blast,Facebook,4229,21474,4451.0,147
Festive Blast,Facebook,16653,35652,5597.0,242
Summer Sale,LinkedIn,4717,17948,9951.0,590
Summer Sale,LinkedIn,4519,22049,8218.0,55
Festive Blast,LinkedIn,7908,25971,2763.0,124
New Launch,Instagram,10482,31104,6182.0,326
Mega Discount,Facebook,2465,11404,5946.0,76
Summer Sale,LinkedIn,7566,12528,9247.0,638
Winter Offer,LinkedIn,6592,20243,4515.0,229
Festive Blast,Google,2952,19346,3704.0,265
Winter Offer,LinkedIn,17841,28429,6388.0,729
Mega Discount,LinkedIn,2996,18019,8458.0,403
Summer Sale,Instagram,13437,28068,1799.0,375
Summer Sale,Google,17502,23270,6060.0,437
Winter Offer,Instagram,2607,25808,1152.0,150
Winter Offer,Facebook,19874,40370,2579.0,229
Winter Offer,Instagram,2260,5679,4174.0,437
New Launch,Google,6349,21757,3073.0,75
Festive Blast,LinkedIn,8061,31529,1400.0,123
Mega Discount,Facebook,9291,12908,4678.0,321
Festive Blast,Google,2249,17177,6328.0,702
Festive Blast,Google,16016,29708,9769.0,468
Summer Sale,Instagram,7433,19460,4288.0,777
Mega Discount,Instagram,15395,34268,2845.0,154
Festive Blast,LinkedIn,3958,17535,3662.0,475
Winter Offer,Instagram,14365,36725,5720.0,468
Winter Offer,Facebook,7164,27575,2999.0,364
Festive Blast,Google,10271,29610,7702.0,796
Winter Offer,Google,17248,41630,4396.0,444
New Launch,Google,19152,39072,8362.0,505
Festive Blast,Instagram,16259,33235,5017.0,716
Festive Blast,Facebook,4933,8286,2346.0,55
Winter Offer,Google,2908,18364,8745.0,62
Summer Sale,LinkedIn,14974,18284,5292.0,167
Festive Blast,Instagram,5519,12962,2521.0,770
Festive Blast,Instagram,8392,31684,8813.0,495
Winter Offer,Instagram,9383,17682,2352.0,663
Summer Sale,Facebook,7270,16496,8504.0,148
Summer Sale,Facebook,11935,20178,,569
Winter Offer,LinkedIn,18263,29507,8805.0,473
New Launch,Facebook,6441,10134,7650.0,741
Mega Discount,Instagram,8048,14128,1192.0,512
Mega Discount,Google,2292,20204,5290.0,540
Festive Blast,LinkedIn,14706,22954,5710.0,386
Winter Offer,LinkedIn,14836,36268,6028.0,569
Summer Sale,Facebook,14680,37871,4591.0,414
New Launch,Google,19585,27129,5032.0,577
Winter Offer,Facebook,11131,30573,2116.0,328
Mega Discount,Google,12120,22973,9162.0,115
New Launch,Instagram,16683,26870,635.0,693
Summer Sale,Instagram,2219,15980,9843.0,770
Festive Blast,Instagram,8829,18874,1119.0,131
Winter Offer,Google,19216,39693,9287.0,682
Summer Sale,Instagram,17497,31963,7137.0,174
Festive Blast,Facebook,17326,21445,9876.0,357
Mega Discount,Google,17720,29136,3955.0,446
Summer Sale,Google,12735,36619,9974.0,651
Festive Blast,Google,5933,23870,535.0,766
Summer Sale,LinkedIn,4994,23971,4973.0,239
Mega Discount,LinkedIn,8011,30975,7706.0,550
Summer Sale,Instagram,2173,20907,8916.0,314
Summer Sale,Instagram,11561,22845,7882.0,740
Winter Offer,LinkedIn,6041,17204,4560.0,313
Mega Discount,Facebook,16171,19719,1835.0,217
Festive Blast,Google,12022,26773,2473.0,332
Mega Discount,Google,11021,21516,9663.0,570
New Launch,Instagram,9794,24768,6931.0,653
New Launch,LinkedIn,17489,34517,5687.0,156
Mega Discount,Instagram,121756,26039,1147.0,774
New Launch,LinkedIn,3668,24638,8214.0,210
Winter Offer,Instagram,17878,32832,6527.0,302
Summer Sale,Instagram,8103,17875,5387.0,264
New Launch,LinkedIn,16884,28499,4514.0,602
Winter Offer,Google,13470,17124,1225.0,527
Winter Offer,LinkedIn,14176,29101,1609.0,207
Mega Discount,LinkedIn,19941,36642,5720.0,166
Mega Discount,Facebook,19682,32080,5883.0,500
Mega Discount,LinkedIn,16261,30539,6912.0,318
Winter Offer,Google,12655,35539,7345.0,501
Mega Discount,Google,19141,40089,9527.0,230
Festive Blast,Facebook,19615,31609,,420
Mega Discount,Google,12034,28354,4749.0,208
Mega Discount,Facebook,12711,21158,8205.0,335
Winter Offer,Facebook,9122,28103,7491.0,757
Winter Offer,Google,16630,31504,8467.0,359
New Launch,LinkedIn,9461,22912,9597.0,733
Mega Discount,Facebook,13875,29075,6541.0,429
Winter Offer,LinkedIn,7179,21106,3493.0,225
Winter Offer,Facebook,7294,28452,1227.0,401
Winter Offer,Google,10446,19262,7430.0,448
Winter Offer,LinkedIn,12043,31451,6708.0,626
New Launch,LinkedIn,5395,13508,9609.0,600
Summer Sale,LinkedIn,6538,13178,4212.0,473
Festive Blast,Instagram,15618,26895,4521.0,761
New Launch,Facebook,11883,36319,5502.0,415
Festive Blast,Instagram,7877,18173,800.0,366
Summer Sale,Facebook,2385,14981,3743.0,400
Summer Sale,Instagram,6639,14045,2950.0,658
Summer Sale,Facebook,3743,28722,,236
Summer Sale,LinkedIn,18825,29339,4577.0,628
Mega Discount,Google,17715,28266,7516.0,561
Winter Offer,Facebook,3947,20158,9279.0,279
Summer Sale,Instagram,2696,26690,515.0,255
Winter Offer,LinkedIn,10085,28280,3949.0,787
Festive Blast,LinkedIn,5869,30120,3067.0,643
New Launch,Instagram,7621,26406,3153.0,667
Summer Sale,Instagram,15489,18802,7385.0,125
Winter Offer,LinkedIn,7640,15825,4573.0,666
Festive Blast,Instagram,12904,17868,4757.0,61
Mega Discount,Instagram,4353,28378,9868.0,567
New Launch,Facebook,13774,29882,7234.0,189
New Launch,Facebook,3880,20940,588.0,568
Festive Blast,LinkedIn,9006,15013,2135.0,608
Festive Blast,LinkedIn,19840,37023,3108.0,676
Mega Discount,LinkedIn,17663,36802,3549.0,472
Mega Discount,Instagram,2749,6653,2376.0,721
Mega Discount,LinkedIn,18293,35653,6230.0,737
Festive Blast,Facebook,11976,15633,3212.0,334
Summer Sale,Instagram,7021,31029,7375.0,576
Summer Sale,Facebook,8453,27601,9935.0,94
New Launch,Instagram,7808,16286,3596.0,139
Festive Blast,Google,7984,13414,3436.0,311
New Launch,Facebook,16856,32998,8761.0,528
Winter Offer,Google,10346,28140,4515.0,385
Festive Blast,Instagram,7861,19024,4269.0,221
Festive Blast,LinkedIn,18586,28335,7205.0,795
Winter Offer,Facebook,9695,31232,560.0,158
Summer Sale,Google,16373,20679,7393.0,412
Winter Offer,Facebook,18702,38096,7357.0,63
Mega Discount,Instagram,18864,39790,2522.0,136
Winter Offer,LinkedIn,14639,25075,1902.0,642
Festive Blast,LinkedIn,8995,25233,2446.0,701
Mega Discount,Google,18019,36393,1943.0,759
Winter Offer,Instagram,6575,13742,1908.0,463
Mega Discount,Facebook,15694,19874,6514.0,720
Mega Discount,Google,7201,29242,8507.0,131
Mega Discount,Instagram,4265,15326,7609.0,102
New Launch,Google,4326,24191,7807.0,236
Summer Sale,Google,11953,25583,3913.0,468
Mega Discount,Instagram,6113,27422,9085.0,508
Summer Sale,Instagram,5672,25820,9106.0,132
Festive Blast,LinkedIn,9590,13648,5247.0,182
Summer Sale,Facebook,19482,23295,2403.0,419
Mega Discount,LinkedIn,6125,27640,7643.0,325
Mega Discount,LinkedIn,13163,27373,9474.0,57
New Launch,Instagram,18015,31627,5363.0,798
Summer Sale,Facebook,19194,33409,4977.0,274
Summer Sale,Instagram,3397,16533,7055.0,207
New Launch,Google,9693,27530,3897.0,343
New Launch,Facebook,6703,12714,6973.0,337
Festive Blast,Instagram,7743,31605,4533.0,184
Summer Sale,Instagram,8305,22579,4451.0,455
New Launch,Instagram,17301,32264,4185.0,630
Festive Blast,LinkedIn,4870,23582,5212.0,639
Mega Discount,Instagram,18833,39294,6416.0,61
Mega Discount,LinkedIn,15973,38361,3784.0,566
New Launch,LinkedIn,9335,20845,8391.0,265
Mega Discount,Google,3436,28210,6730.0,216
Mega Discount,Google,18700,33720,4026.0,763
Winter Offer,LinkedIn,15382,35440,8079.0,268
Mega Discount,Instagram,19767,41180,8854.0,160
Winter Offer,Instagram,11238,17461,4864.0,777
Festive Blast,LinkedIn,4320,11525,873.0,596
New Launch,Facebook,13918,35808,6374.0,780
Winter Offer,Instagram,3746,14113,9284.0,96
Winter Offer,Facebook,6902,15985,7835.0,260
Winter Offer,LinkedIn,9112,13316,1811.0,630
Winter Offer,Facebook,10739,31752,4522.0,705
New Launch,LinkedIn,2535,22665,3037.0,744
Summer Sale,Google,2403,26952,5008.0,559
Mega Discount,Google,17149,36667,4754.0,545
Summer Sale,Facebook,17211,31509,4376.0,699
Summer Sale,Instagram,3351,7253,5804.0,209
New Launch,Facebook,11070,17277,1415.0,452
Summer Sale,Facebook,3674,8233,1666.0,231
New Launch,Facebook,16989,39073,5600.0,549
New Launch,Instagram,14617,22355,7224.0,731
Festive Blast,Facebook,12744,31378,5362.0,483
Summer Sale,Google,12754,35742,4401.0,600
Summer Sale,Facebook,2630,21740,8434.0,466
New Launch,Google,6889,13494,2430.0,80
Winter Offer,Google,8048,30556,6873.0,348
Mega Discount,LinkedIn,11772,19963,9543.0,325
Festive Blast,LinkedIn,5611,25619,3859.0,599
Mega Discount,LinkedIn,15908,34089,6833.0,107
Summer Sale,Instagram,5744,8925,2176.0,773
Winter Offer,LinkedIn,13851,35293,9498.0,636
New Launch,Instagram,2272,14557,2597.0,475
Festive Blast,Facebook,14667,30180,929.0,119
Summer Sale,LinkedIn,12301,31406,5833.0,284
New Launch,LinkedIn,12587,26596,6307.0,744
Summer Sale,Facebook,17686,27377,9137.0,753
Festive Blast,Facebook,14749,21633,6967.0,687
New Launch,Google,19337,23948,577.0,555
Mega Discount,LinkedIn,9850,28899,5099.0,682
Summer Sale,LinkedIn,11512,21901,4517.0,424
Festive Blast,Instagram,12894,29113,7539.0,278
Festive Blast,Google,13408,35514,8859.0,181
Mega Discount,Google,9614,19391,3761.0,490
Mega Discount,Facebook,4809,8646,,91
Summer Sale,LinkedIn,9549,17260,1043.0,652
Winter Offer,LinkedIn,19198,28015,3731.0,423
New Launch,Instagram,11468,16599,9161.0,160
Winter Offer,LinkedIn,17912,23040,2216.0,146
New Launch,Google,16740,41029,8089.0,502
Festive Blast,LinkedIn,8587,11822,1976.0,769
New Launch,Google,4030,10278,5582.0,618
Summer Sale,Google,7282,29539,7429.0,70
Summer Sale,LinkedIn,2630,15110,1023.0,178
Summer Sale,LinkedIn,6587,12283,2132.0,649
Summer Sale,Instagram,7032,11827,3594.0,93
New Launch,Facebook,10441,25501,6589.0,712
Summer Sale,Instagram,13158,27058,7410.0,385
New Launch,Instagram,7930,11309,2356.0,619
Winter Offer,Instagram,5195,12210,6231.0,268
Winter Offer,Facebook,12756,15756,7462.0,150
Festive Blast,Google,8536,22822,8094.0,726
Summer Sale,Instagram,3747,25812,6809.0,304
Mega Discount,Instagram,11627,16504,3270.0,163
Summer Sale,Instagram,9124,28797,8813.0,361
Summer Sale,Google,5789,28045,3090.0,277
Summer Sale,LinkedIn,18085,41861,2090.0,259
Mega Discount,Facebook,9092,16252,6119.0,80
Festive Blast,Facebook,9719,25449,2161.0,652
Festive Blast,LinkedIn,14692,17799,6210.0,496
Winter Offer,Facebook,2958,20490,5054.0,302
Summer Sale,Google,5956,29571,1554.0,490
New Launch,LinkedIn,12407,27636,7425.0,309
Winter Offer,Instagram,17346,30481,9143.0,761
Summer Sale,Instagram,16332,23804,2277.0,125
Mega Discount,Instagram,3736,21397,4404.0,225
Summer Sale,Instagram,7502,25457,3470.0,666
Summer Sale,Instagram,5886,27793,8894.0,209
New Launch,Facebook,13633,33006,2861.0,415
Summer Sale,Instagram,18685,28524,7089.0,361
Mega Discount,LinkedIn,18767,36400,7412.0,195
Mega Discount,Facebook,16449,28814,2179.0,373
Festive Blast,LinkedIn,8578,19066,2013.0,494
Summer Sale,Instagram,4175,26701,3037.0,183
Mega Discount,Google,11448,14540,2923.0,752
Winter Offer,Instagram,17102,37397,6407.0,656
Summer Sale,Facebook,7454,27354,1564.0,392
New Launch,Facebook,6555,20293,9208.0,678
Summer Sale,Facebook,4726,15227,1372.0,710
Mega Discount,Instagram,19064,43919,9570.0,142
New Launch,Facebook,9749,33584,1594.0,456
New Launch,Instagram,13132,33355,4457.0,419
Winter Offer,Facebook,4159,21308,3368.0,350
Summer Sale,Facebook,11610,35569,7028.0,280
Summer Sale,Facebook,7433,22497,2799.0,134
Summer Sale,Facebook,5207,16532,1126.0,514
Winter Offer,Facebook,10372,20035,3983.0,511
Winter Offer,Google,18191,38309,4567.0,220
Mega Discount,Facebook,15615,28186,1929.0,664
Summer Sale,Instagram,15704,27000,3500.0,523
Festive Blast,Google,11812,31174,8351.0,612
New Launch,Facebook,9143,14165,6871.0,390
Mega Discount,Google,15073,37971,2953.0,368
Mega Discount,Instagram,18539,28423,9377.0,95
Summer Sale,Instagram,9546,29824,8025.0,475
New Launch,Google,9569,19309,1077.0,644
Festive Blast,Instagram,6460,17662,7822.0,573
Summer Sale,Instagram,2300,22117,2733.0,178
New Launch,Google,5035,18524,7146.0,656
Mega Discount,Instagram,12406,26940,9616.0,228
Festive Blast,LinkedIn,13623,37357,3827.0,104
Summer Sale,LinkedIn,4830,24895,5083.0,165
Summer Sale,Facebook,4777,29673,3464.0,769
Winter Offer,LinkedIn,19256,39301,6737.0,255
Festive Blast,LinkedIn,2198,25840,2803.0,407
Festive Blast,Google,18586,41826,2057.0,228
Festive Blast,Instagram,15023,38004,4228.0,769
Summer Sale,Google,12784,34302,5139.0,124
New Launch,Google,11944,25856,9145.0,531
Winter Offer,Instagram,18647,34671,815.0,351
Summer Sale,Instagram,6892,23735,8788.0,748
Summer Sale,Instagram,11138,20146,6672.0,212
New Launch,Facebook,6993,18720,4214.0,229
Mega Discount,Google,3526,8389,4470.0,589
New Launch,LinkedIn,5122,8415,4073.0,709
New Launch,LinkedIn,10456,14773,5953.0,785
Winter Offer,Facebook,19324,30369,5585.0,165
Festive Blast,Google,5286,22344,2455.0,308
Summer Sale,Instagram,16719,21221,5168.0,252
Festive Blast,Instagram,10342,18033,3688.0,621
Festive Blast,Google,7173,17884,8076.0,232
Summer Sale,Instagram,11024,33140,5310.0,125
Mega Discount,LinkedIn,9978,15223,2650.0,432
Festive Blast,LinkedIn,5086,21657,5879.0,268
Festive Blast,Google,14248,26810,4501.0,494
Winter Offer,Facebook,6938,21526,5941.0,255
Summer Sale,Facebook,4402,14473,,452
Festive Blast,Facebook,14196,31998,6002.0,668
New Launch,Facebook,18470,37601,731.0,115
Winter Offer,LinkedIn,17103,23019,5957.0,430
Summer Sale,Facebook,9464,19692,5782.0,625
Winter Offer,Instagram,9732,25362,840.0,409
Festive Blast,Facebook,8406,24353,6573.0,616
Winter Offer,Facebook,19733,43221,3175.0,260
Mega Discount,Instagram,6914,20401,6513.0,487
Winter Offer,Instagram,2886,6156,6909.0,104
Summer Sale,LinkedIn,9017,20702,2727.0,99
Festive Blast,Google,16432,36967,4996.0,386
Festive Blast,LinkedIn,12324,26714,5683.0,477
Winter Offer,Facebook,14361,36407,4676.0,444
Summer Sale,Instagram,12738,26136,1109.0,496
New Launch,Google,18102,25214,6633.0,187
Mega Discount,LinkedIn,16700,20432,8381.0,122
Winter Offer,Facebook,17703,39734,6708.0,672
Mega Discount,Facebook,17631,28360,7029.0,703
Festive Blast,LinkedIn,16461,21402,3414.0,162
Winter Offer,Instagram,6792,20364,1142.0,317
Summer Sale,Google,10683,24116,2121.0,426
Festive Blast,Instagram,8311,21654,1346.0,660
Festive Blast,Facebook,14033,20266,7840.0,167
Summer Sale,LinkedIn,19767,25398,8437.0,536
Summer Sale,Instagram,15577,31906,1534.0,65
Festive Blast,Google,17754,30793,3708.0,782
Mega Discount,LinkedIn,18574,37051,5616.0,393
Festive Blast,Facebook,4449,10721,1828.0,651
Mega Discount,Instagram,11680,19265,9187.0,688
Summer Sale,Instagram,2285,17864,4454.0,684
Winter Offer,Instagram,6002,9644,7295.0,456
New Launch,Facebook,18777,36677,4567.0,568
Mega Discount,LinkedIn,17289,39183,7446.0,770
